Date (yyyy-mm-dd),Timestamp (hh:mm:ss.nnn),G1 (W/m2),G2 (W/m2)
2015-02-26,06:13:00.000,0,0
2015-02-26,06:14:00.000,0,0
2015-02-26,06:15:00.000,0,0
2015-02-26,06:16:00.000,0,0
2015-02-26,06:17:00.000,0,0
2015-02-26,06:18:00.000,0,0
2015-02-26,06:19:00.000,0,0
2015-02-26,06:20:00.000,0,0
2015-02-26,06:21:00.000,0,0
2015-02-26,06:22:00.000,0,0
2015-02-26,06:23:00.000,0,0
2015-02-26,06:24:00.000,0,0
2015-02-26,06:25:00.000,0,0
2015-02-26,06:26:00.000,0,0
2015-02-26,06:27:00.000,0,0
2015-02-26,06:28:00.000,0,0
2015-02-26,06:29:00.000,0,0
2015-02-26,06:30:00.000,1,1
2015-02-26,06:31:00.000,1,1
2015-02-26,06:32:00.000,1,1
2015-02-26,06:33:00.000,1,1
2015-02-26,06:34:00.000,2,2
2015-02-26,06:35:00.000,2,2
2015-02-26,06:36:00.000,2,2
2015-02-26,06:37:00.000,3,3
2015-02-26,06:38:00.000,3,3
2015-02-26,06:39:00.000,4,4
2015-02-26,06:40:00.000,5,5
2015-02-26,06:41:00.000,5,6
2015-02-26,06:42:00.000,6,8
2015-02-26,06:43:00.000,7,9
2015-02-26,06:44:00.000,8,10
2015-02-26,06:45:00.000,9,12
2015-02-26,06:46:00.000,11,14
2015-02-26,06:47:00.000,12,16
2015-02-26,06:48:00.000,13,16
2015-02-26,06:49:00.000,14,20
2015-02-26,06:50:00.000,15,22
2015-02-26,06:50:53.930,16,27
2015-02-26,06:51:00.000,16,27
2015-02-26,06:51:37.570,17,32
2015-02-26,06:52:00.000,18,34
2015-02-26,06:52:30.130,19,39
2015-02-26,06:53:00.000,20,42
2015-02-26,06:54:00.000,22,43
2015-02-26,06:55:00.000,23,44
2015-02-26,06:56:00.000,24,45
2015-02-26,06:57:00.000,26,48
2015-02-26,06:57:55.820,27,53
2015-02-26,06:58:00.000,28,53
2015-02-26,06:59:00.000,29,55
2015-02-26,06:59:44.800,29,60
2015-02-26,07:00:00.000,30,60
2015-02-26,07:01:00.000,31,62
2015-02-26,07:01:51.940,33,67
2015-02-26,07:02:00.000,33,68
2015-02-26,07:02:25.450,34,73
2015-02-26,07:03:00.000,34,75
2015-02-26,07:03:48.320,34,70
2015-02-26,07:04:00.000,34,70
2015-02-26,07:05:00.000,33,66
2015-02-26,07:06:00.000,34,67
2015-02-26,07:07:00.000,35,70
2015-02-26,07:08:00.000,36,67
2015-02-26,07:09:00.000,35,64
2015-02-26,07:10:00.000,36,65
2015-02-26,07:10:41.520,37,70
2015-02-26,07:11:00.000,38,71
2015-02-26,07:11:17.560,40,76
2015-02-26,07:11:45.050,41,81
2015-02-26,07:12:00.000,43,84
2015-02-26,07:12:18.290,44,89
2015-02-26,07:13:00.000,45,88
2015-02-26,07:14:00.000,45,87
2015-02-26,07:14:49.490,47,92
2015-02-26,07:15:00.000,47,94
2015-02-26,07:15:11.720,49,99
2015-02-26,07:15:22.930,50,104
2015-02-26,07:15:32.990,53,109
2015-02-26,07:15:44.130,54,114
2015-02-26,07:15:54.740,56,119
2015-02-26,07:16:00.000,57,121
2015-02-26,07:16:10.420,58,126
2015-02-26,07:16:24.090,60,131
2015-02-26,07:16:38.230,61,136
2015-02-26,07:16:54.700,63,141
2015-02-26,07:17:00.000,64,142
2015-02-26,07:17:15.200,66,147
2015-02-26,07:17:43.290,67,152
2015-02-26,07:18:00.000,68,152
2015-02-26,07:19:00.000,68,152
2015-02-26,07:20:00.000,68,148
2015-02-26,07:20:25.840,67,143
2015-02-26,07:21:00.000,68,145
2015-02-26,07:22:00.000,70,147
2015-02-26,07:23:00.000,71,149
2015-02-26,07:24:00.000,73,151
2015-02-26,07:24:09.020,74,156
2015-02-26,07:24:39.710,76,161
2015-02-26,07:25:00.000,77,161
2015-02-26,07:25:26.950,79,166
2015-02-26,07:26:00.000,80,166
2015-02-26,07:26:43.780,83,171
2015-02-26,07:27:00.000,84,174
2015-02-26,07:27:17.420,86,179
2015-02-26,07:27:42.130,88,184
2015-02-26,07:28:00.000,90,186
2015-02-26,07:28:11.810,92,191
2015-02-26,07:28:23.480,94,196
2015-02-26,07:28:38.370,96,201
2015-02-26,07:29:00.000,98,204
2015-02-26,07:29:22.010,100,209
2015-02-26,07:29:42.710,102,214
