Date (yyyy-mm-dd),Timestamp (hh:mm:ss.nnn),G1 (W/m2),G2 (W/m2)
2015-03-24,05:44:00.000,0,0
2015-03-24,05:45:00.000,0,0
2015-03-24,05:46:00.000,0,0
2015-03-24,05:47:00.000,0,0
2015-03-24,05:48:00.000,0,0
2015-03-24,05:49:00.000,0,0
2015-03-24,05:50:00.000,0,0
2015-03-24,05:51:00.000,0,0
2015-03-24,05:52:00.000,0,0
2015-03-24,05:53:00.000,0,0
2015-03-24,05:54:00.000,0,0
2015-03-24,05:55:00.000,0,0
2015-03-24,05:56:00.000,0,0
2015-03-24,05:57:00.000,0,0
2015-03-24,05:58:00.000,0,0
2015-03-24,05:59:00.000,1,0
2015-03-24,06:00:00.000,1,1
2015-03-24,06:01:00.000,2,1
2015-03-24,06:02:00.000,2,1
2015-03-24,06:03:00.000,2,2
2015-03-24,06:04:00.000,2,2
2015-03-24,06:05:00.000,3,3
2015-03-24,06:06:00.000,3,3
2015-03-24,06:07:00.000,3,4
2015-03-24,06:08:00.000,4,4
2015-03-24,06:09:00.000,4,4
2015-03-24,06:10:00.000,5,5
2015-03-24,06:11:00.000,5,5
2015-03-24,06:12:00.000,6,6
2015-03-24,06:13:00.000,6,6
2015-03-24,06:14:00.000,7,7
2015-03-24,06:15:00.000,8,8
2015-03-24,06:16:00.000,9,8
2015-03-24,06:17:00.000,9,9
2015-03-24,06:18:00.000,9,9
2015-03-24,06:19:00.000,10,10
2015-03-24,06:20:00.000,11,11
2015-03-24,06:21:00.000,11,11
2015-03-24,06:22:00.000,11,12
2015-03-24,06:23:00.000,12,12
2015-03-24,06:24:00.000,12,13
2015-03-24,06:25:00.000,13,13
2015-03-24,06:26:00.000,13,14
2015-03-24,06:27:00.000,14,14
2015-03-24,06:28:00.000,15,15
2015-03-24,06:29:00.000,15,16
2015-03-24,06:30:00.000,16,16
2015-03-24,06:31:00.000,16,17
2015-03-24,06:32:00.000,18,18
2015-03-24,06:32:54.310,23,22
2015-03-24,06:33:00.000,23,23
2015-03-24,06:33:33.530,28,26
2015-03-24,06:34:00.000,31,29
2015-03-24,06:34:29.740,36,32
2015-03-24,06:35:00.000,39,36
2015-03-24,06:35:42.570,44,39
2015-03-24,06:36:00.000,45,41
2015-03-24,06:36:54.000,50,45
2015-03-24,06:37:00.000,49,45
2015-03-24,06:38:00.000,52,48
2015-03-24,06:39:00.000,55,51
2015-03-24,06:40:00.000,58,54
2015-03-24,06:41:00.000,61,57
2015-03-24,06:42:00.000,64,60
2015-03-24,06:43:00.000,68,63
2015-03-24,06:44:00.000,72,66
2015-03-24,06:45:00.000,75,69
2015-03-24,06:46:00.000,78,72
2015-03-24,06:47:00.000,82,76
2015-03-24,06:48:00.000,85,80
2015-03-24,06:49:00.000,89,83
2015-03-24,06:50:00.000,93,87
2015-03-24,06:51:00.000,97,91
2015-03-24,06:52:00.000,100,94
2015-03-24,06:52:53.340,105,98
2015-03-24,06:53:00.000,105,98
2015-03-24,06:54:00.000,109,102
2015-03-24,06:54:56.640,112,107
2015-03-24,06:55:00.000,113,106
2015-03-24,06:55:57.850,117,111
2015-03-24,06:56:00.000,117,111
2015-03-24,06:57:00.000,120,114
2015-03-24,06:58:00.000,124,118
2015-03-24,06:59:00.000,128,121
2015-03-24,06:59:56.370,131,126
2015-03-24,07:00:00.000,131,125
2015-03-24,07:00:53.040,136,129
2015-03-24,07:01:00.000,136,129
2015-03-24,07:02:00.000,140,133
2015-03-24,07:03:00.000,144,137
