Date (yyyy-mm-dd),Timestamp (hh:mm:ss.nnn),G1 (W/m2),G2 (W/m2)
2015-03-24,05:44:00.000,0,0
2015-03-24,05:45:00.000,0,0
2015-03-24,05:46:00.000,0,0
2015-03-24,05:47:00.000,0,0
2015-03-24,05:48:00.000,0,0
2015-03-24,05:49:00.000,0,0
2015-03-24,05:50:00.000,0,0
2015-03-24,05:51:00.000,0,0
2015-03-24,05:52:00.000,0,0
2015-03-24,05:53:00.000,0,0
2015-03-24,05:54:00.000,0,0
2015-03-24,05:55:00.000,0,0
2015-03-24,05:56:00.000,0,0
2015-03-24,05:57:00.000,0,0
2015-03-24,05:58:00.000,1,0
2015-03-24,05:59:00.000,1,0
2015-03-24,06:00:00.000,1,1
2015-03-24,06:01:00.000,1,1
2015-03-24,06:02:00.000,2,1
2015-03-24,06:03:00.000,2,2
2015-03-24,06:04:00.000,2,2
2015-03-24,06:05:00.000,3,3
2015-03-24,06:06:00.000,3,3
2015-03-24,06:07:00.000,4,4
2015-03-24,06:08:00.000,4,4
2015-03-24,06:09:00.000,5,5
2015-03-24,06:10:00.000,5,5
2015-03-24,06:11:00.000,6,6
2015-03-24,06:12:00.000,6,6
2015-03-24,06:13:00.000,7,7
2015-03-24,06:14:00.000,7,7
2015-03-24,06:15:00.000,8,8
2015-03-24,06:16:00.000,9,9
2015-03-24,06:17:00.000,9,9
2015-03-24,06:18:00.000,10,10
2015-03-24,06:19:00.000,10,10
2015-03-24,06:20:00.000,11,11
2015-03-24,06:21:00.000,11,11
2015-03-24,06:22:00.000,12,12
2015-03-24,06:23:00.000,12,12
2015-03-24,06:24:00.000,13,13
2015-03-24,06:25:00.000,13,14
2015-03-24,06:26:00.000,14,15
2015-03-24,06:27:00.000,15,15
2015-03-24,06:28:00.000,15,16
2015-03-24,06:29:00.000,16,16
2015-03-24,06:30:00.000,16,17
2015-03-24,06:31:00.000,17,18
2015-03-24,06:31:43.830,22,21
2015-03-24,06:32:00.000,24,22
2015-03-24,06:32:39.210,29,25
2015-03-24,06:33:00.000,31,26
2015-03-24,06:33:31.400,36,29
2015-03-24,06:34:00.000,39,31
2015-03-24,06:34:55.610,44,33
2015-03-24,06:35:00.000,44,33
2015-03-24,06:36:00.000,44,33
2015-03-24,06:36:44.690,39,31
2015-03-24,06:37:00.000,38,30
2015-03-24,06:37:16.500,33,29
2015-03-24,06:37:46.910,28,26
2015-03-24,06:38:00.000,28,26
2015-03-24,06:39:00.000,26,26
2015-03-24,06:40:00.000,26,27
2015-03-24,06:41:00.000,25,26
2015-03-24,06:42:00.000,24,26
2015-03-24,06:43:00.000,25,27
2015-03-24,06:43:48.120,28,32
2015-03-24,06:44:00.000,30,33
2015-03-24,06:44:16.790,35,37
2015-03-24,06:44:31.600,40,41
2015-03-24,06:44:43.630,45,45
2015-03-24,06:44:54.150,49,50
2015-03-24,06:45:00.000,52,52
2015-03-24,06:45:10.220,57,55
2015-03-24,06:45:21.520,61,60
2015-03-24,06:45:31.560,66,62
2015-03-24,06:45:43.430,71,65
2015-03-24,06:45:58.980,76,68
2015-03-24,06:46:00.000,76,68
2015-03-24,06:46:25.780,81,72
2015-03-24,06:47:00.000,83,75
2015-03-24,06:48:00.000,86,78
2015-03-24,06:49:00.000,90,82
2015-03-24,06:50:00.000,93,86
2015-03-24,06:51:00.000,97,90
2015-03-24,06:51:58.460,101,95
2015-03-24,06:52:00.000,101,94
2015-03-24,06:52:50.480,105,99
2015-03-24,06:53:00.000,105,99
