Date (yyyy-mm-dd),Timestamp (hh:mm:ss.nnn),G1 (W/m2),G2 (W/m2)
2014-12-30,07:01:00.000,0,0
2014-12-30,07:02:00.000,0,0
2014-12-30,07:03:00.000,0,0
2014-12-30,07:04:00.000,0,0
2014-12-30,07:05:00.000,0,0
2014-12-30,07:06:00.000,0,0
2014-12-30,07:07:00.000,0,0
2014-12-30,07:08:00.000,0,0
2014-12-30,07:09:00.000,0,0
2014-12-30,07:10:00.000,0,0
2014-12-30,07:11:00.000,0,0
2014-12-30,07:12:00.000,0,0
2014-12-30,07:13:00.000,0,0
2014-12-30,07:14:00.000,0,0
2014-12-30,07:15:00.000,0,0
2014-12-30,07:16:00.000,0,0
2014-12-30,07:17:00.000,0,0
2014-12-30,07:18:00.000,0,0
2014-12-30,07:19:00.000,0,0
2014-12-30,07:20:00.000,0,1
2014-12-30,07:21:00.000,0,1
2014-12-30,07:22:00.000,0,1
2014-12-30,07:23:00.000,1,1
2014-12-30,07:24:00.000,1,1
2014-12-30,07:25:00.000,1,2
2014-12-30,07:26:00.000,1,2
2014-12-30,07:27:00.000,1,2
2014-12-30,07:28:00.000,1,2
2014-12-30,07:29:00.000,2,3
2014-12-30,07:30:00.000,2,3
2014-12-30,07:31:00.000,2,3
2014-12-30,07:32:00.000,3,4
2014-12-30,07:33:00.000,3,4
2014-12-30,07:34:00.000,4,5
2014-12-30,07:35:00.000,4,6
2014-12-30,07:36:00.000,4,6
2014-12-30,07:37:00.000,5,7
2014-12-30,07:38:00.000,5,8
2014-12-30,07:39:00.000,6,8
2014-12-30,07:40:00.000,6,9
2014-12-30,07:41:00.000,7,9
2014-12-30,07:42:00.000,7,10
2014-12-30,07:43:00.000,7,10
2014-12-30,07:44:00.000,8,11
2014-12-30,07:45:00.000,8,12
2014-12-30,07:46:00.000,8,14
2014-12-30,07:46:26.180,8,19
2014-12-30,07:46:41.050,8,24
2014-12-30,07:46:53.800,9,29
2014-12-30,07:47:00.000,9,32
2014-12-30,07:47:06.370,9,37
2014-12-30,07:47:13.760,9,42
2014-12-30,07:47:20.960,9,47
2014-12-30,07:47:28.120,9,52
2014-12-30,07:47:34.950,10,57
2014-12-30,07:47:41.830,10,62
2014-12-30,07:47:48.910,10,67
2014-12-30,07:47:55.980,11,72
2014-12-30,07:48:00.000,11,74
2014-12-30,07:48:06.430,11,79
2014-12-30,07:48:13.310,11,84
2014-12-30,07:48:21.290,11,89
2014-12-30,07:48:29.520,12,94
2014-12-30,07:48:38.080,12,99
2014-12-30,07:48:45.780,12,104
2014-12-30,07:48:53.880,12,109
2014-12-30,07:49:00.000,13,112
2014-12-30,07:49:09.020,13,117
2014-12-30,07:49:23.920,13,122
2014-12-30,07:49:46.830,13,127
2014-12-30,07:50:00.000,14,129
2014-12-30,07:51:00.000,14,131
2014-12-30,07:51:34.560,15,136
2014-12-30,07:51:58.000,15,141
2014-12-30,07:52:00.000,15,141
2014-12-30,07:52:58.830,16,146
2014-12-30,07:53:00.000,17,145
2014-12-30,07:53:49.990,18,150
2014-12-30,07:54:00.000,18,152
2014-12-30,07:54:14.330,18,157
2014-12-30,07:55:00.000,19,159
2014-12-30,07:55:47.920,20,164
2014-12-30,07:56:00.000,20,166
2014-12-30,07:56:11.190,20,171
2014-12-30,07:56:28.380,21,176
2014-12-30,07:56:53.490,22,181
2014-12-30,07:57:00.000,22,181
2014-12-30,07:57:30.370,23,186
