Date (yyyy-mm-dd),Timestamp (hh:mm:ss.nnn),G1 (W/m2),G2 (W/m2)
2014-12-30,07:01:00.000,0,0
2014-12-30,07:02:00.000,0,0
2014-12-30,07:03:00.000,0,0
2014-12-30,07:04:00.000,0,0
2014-12-30,07:05:00.000,0,0
2014-12-30,07:06:00.000,0,0
2014-12-30,07:07:00.000,0,0
2014-12-30,07:08:00.000,0,0
2014-12-30,07:09:00.000,0,0
2014-12-30,07:10:00.000,0,0
2014-12-30,07:11:00.000,0,0
2014-12-30,07:12:00.000,0,0
2014-12-30,07:13:00.000,0,0
2014-12-30,07:14:00.000,0,0
2014-12-30,07:15:00.000,0,0
2014-12-30,07:16:00.000,0,0
2014-12-30,07:17:00.000,0,0
2014-12-30,07:18:00.000,0,1
2014-12-30,07:19:00.000,0,1
2014-12-30,07:20:00.000,0,1
2014-12-30,07:21:00.000,0,1
2014-12-30,07:22:00.000,0,1
2014-12-30,07:23:00.000,1,1
2014-12-30,07:24:00.000,1,2
2014-12-30,07:25:00.000,1,2
2014-12-30,07:26:00.000,1,2
2014-12-30,07:27:00.000,1,2
2014-12-30,07:28:00.000,1,3
2014-12-30,07:29:00.000,1,3
2014-12-30,07:30:00.000,2,3
2014-12-30,07:31:00.000,2,4
2014-12-30,07:32:00.000,3,4
2014-12-30,07:33:00.000,3,5
2014-12-30,07:34:00.000,4,5
2014-12-30,07:35:00.000,4,6
2014-12-30,07:36:00.000,4,7
2014-12-30,07:37:00.000,5,7
2014-12-30,07:38:00.000,5,8
2014-12-30,07:39:00.000,5,8
2014-12-30,07:40:00.000,6,9
2014-12-30,07:41:00.000,6,9
2014-12-30,07:42:00.000,7,10
2014-12-30,07:43:00.000,7,10
2014-12-30,07:44:00.000,7,11
2014-12-30,07:45:00.000,8,12
2014-12-30,07:46:00.000,8,12
2014-12-30,07:47:00.000,9,13
2014-12-30,07:48:00.000,9,13
2014-12-30,07:49:00.000,9,13
2014-12-30,07:50:00.000,9,14
2014-12-30,07:50:33.580,10,19
2014-12-30,07:50:43.330,10,24
2014-12-30,07:50:53.140,10,29
2014-12-30,07:51:00.000,10,33
2014-12-30,07:51:07.380,10,38
2014-12-30,07:51:13.440,10,43
2014-12-30,07:51:19.840,10,48
2014-12-30,07:51:26.170,11,53
2014-12-30,07:51:32.410,11,58
2014-12-30,07:51:37.480,11,63
2014-12-30,07:51:43.420,11,68
2014-12-30,07:51:49.060,11,73
2014-12-30,07:51:54.700,11,78
2014-12-30,07:52:00.000,11,82
2014-12-30,07:52:03.930,12,87
2014-12-30,07:52:09.190,12,92
2014-12-30,07:52:14.450,12,97
2014-12-30,07:52:19.680,12,102
2014-12-30,07:52:25.210,12,107
2014-12-30,07:52:31.540,12,112
2014-12-30,07:52:37.620,12,117
2014-12-30,07:52:43.860,13,122
2014-12-30,07:52:49.310,13,127
2014-12-30,07:52:56.100,13,132
2014-12-30,07:53:00.000,13,134
2014-12-30,07:53:05.390,13,139
2014-12-30,07:53:12.200,13,144
2014-12-30,07:53:18.550,13,149
2014-12-30,07:53:25.800,14,154
2014-12-30,07:53:34.530,14,159
2014-12-30,07:53:44.840,14,164
2014-12-30,07:53:55.510,14,169
2014-12-30,07:54:00.000,14,170
2014-12-30,07:54:36.450,15,175
2014-12-30,07:55:00.000,15,178
2014-12-30,07:55:27.720,16,183
2014-12-30,07:55:46.930,16,188
2014-12-30,07:56:00.000,16,189
